ticket,sentiment
Where can I check my refund status?,Neutral
The service was excellent,Positive
How does the refund process work?,Neutral
How do I update my account information?,Neutral
How can I clear the app cache?,Neutral
My delivery is much later than expected,Negative
My payment failed and my money was deducted,Negative
"Thank you, I can log in again",Positive
How can I get assistance with an order?,Neutral
My account issue was resolved quickly,Positive
I cannot cancel my order,Negative
How can I cancel my subscription?,Neutral
I was charged twice for the same purchase,Negative
How can I renew my subscription?,Neutral
My order arrived exactly when expected,Positive
How can I change my account details?,Neutral
