ticket,category,clean_ticket
The payment was successful but the order was cancelled Can you check this?,Payment Issue,
I need assistance because The product I received is damaged Please look into this.,Order Issue,
"Please help me, I received the wrong product Can you check this?",Order Issue,
Cancel my recent order Please look into this.,Cancellation,
Could you please help? Why was I charged for my subscription? Can you check this?,Subscription,
Could you please help? I cannot use the website What should I do?,Technical Issue,
I need help because My UPI payment failed What should I do?,Payment Issue,
Can you help me? I want to cancel the purchase,Cancellation,
I am having a problem because Please stop my order Can you check this?,Cancellation,
I need assistance because Can I get a refund for this order? What should I do?,Refund,
Could you please help? I received a damaged product Can you resolve this?,Order Issue,
I am having a problem because The app keeps crashing Please help me with this issue.,Technical Issue,
I am having a problem because My shipment is stuck in transit Can you check this?,Delivery Issue,
I need help because I was charged but my order still shows as unpaid What should I do?,Payment Issue,
I am facing an issue where How can I stop automatic renewal? Can you resolve this?,Subscription,
Can you help me? I have been waiting for my order Can you check this?,Delivery Issue,
I want to cancel the purchase I need assistance.,Cancellation,
Could you please help? I am getting an error message Please help me with this issue.,Technical Issue,
I am unable to sign in I need assistance.,Account Issue,
I need assistance because The app is very slow Can you check this?,Technical Issue,
Could you please help? Please cancel this transaction Please help me with this issue.,Cancellation,
I need assistance because I cannot complete my payment Can you resolve this?,Payment Issue,
I am facing an issue where My subscription payment failed I need assistance.,Subscription,
I am getting an error message Please help.,Technical Issue,
I need help because One item is missing from my order,Order Issue,
Can you help me? I cannot open the application I need assistance.,Technical Issue,
Could you please help? There is an item missing from my package What should I do?,Order Issue,
I am facing an issue where One item is missing from my order,Order Issue,
I am having a problem because My account is locked Can you resolve this?,Account Issue,
I am facing an issue where I was charged twice for one order What should I do?,Payment Issue,
Could you please help? I want to update my account information Can you check this?,Account Issue,
I need help because Can you cancel my order? Can you resolve this?,Cancellation,
I am facing an issue where I was charged twice for one order I need assistance.,Payment Issue,
Can you help me? My order is showing the wrong item Can you check this?,Order Issue,
I am having a problem because I want to downgrade my plan Please help.,Subscription,
I need assistance because I was charged twice for one order Can you resolve this?,Payment Issue,
Can you help me? How can I cancel my order? Can you check this?,Cancellation,
I need assistance because Can you tell me where my package is? Can you check this?,Delivery Issue,
Can you help me? How do I update my phone number? Can you resolve this?,Account Issue,
I am facing an issue where My package has not been delivered Please look into this.,Delivery Issue,
I am facing an issue where I am unable to sign in What should I do?,Account Issue,
Could you please help? I need help with my subscription Please help.,Subscription,
Please process my refund Please help.,Refund,
Could you please help? My order is incomplete Can you resolve this?,Order Issue,
I need help because I want to downgrade my plan Please look into this.,Subscription,
I need help because I need help with my subscription Please look into this.,Subscription,
Could you please help? Please process my refund Can you check this?,Refund,
Can you help me? The website keeps showing an error I need assistance.,Technical Issue,
I need assistance because My delivery is late Can you check this?,Delivery Issue,
I want to cancel my order Please help me with this issue.,Cancellation,
I am facing an issue where How can I upgrade my subscription? Please look into this.,Subscription,
I need assistance because When will I receive my refund? Can you resolve this?,Refund,
I am having a problem because I want to update my account information Please help.,Account Issue,
How do I update my phone number? I need assistance.,Account Issue,
I need help because I received a damaged product Please help me with this issue.,Order Issue,
I need assistance because How do I renew my subscription? What should I do?,Subscription,
"Please help me, When will my package be delivered? What should I do?",Delivery Issue,
Could you please help? I was charged for a subscription I cancelled Please look into this.,Subscription,
I need assistance because I cannot open the application Please look into this.,Technical Issue,
Could you please help? My order is incomplete Please help.,Order Issue,
Can you help me? I am unable to use the checkout page,Technical Issue,
I need assistance because How can I request a refund? Can you check this?,Refund,
Could you please help? My account login is not working Please look into this.,Account Issue,
I need assistance because The delivery is taking longer than expected Please help me with this issue.,Delivery Issue,
I am facing an issue where How do I change my email address? I need assistance.,Account Issue,
Can you help me? When does my subscription expire? I need assistance.,Subscription,
I am facing an issue where My password is not working Please look into this.,Account Issue,
"Please help me, Cancel my recent order Please help me with this issue.",Cancellation,
I received a damaged product Can you resolve this?,Order Issue,
Could you please help? My order is still in transit Please help me with this issue.,Delivery Issue,
"Please help me, How can I manage my subscription? Please help.",Subscription,
I need assistance because How do I cancel a purchase?,Cancellation,
Could you please help? I received the wrong size I need assistance.,Order Issue,
"Please help me, The payment keeps getting declined Can you check this?",Payment Issue,
Could you please help? The app crashes whenever I open it Can you resolve this?,Technical Issue,
"Please help me, I want to cancel my subscription I need assistance.",Subscription,
I am having a problem because The delivery is taking longer than expected Can you resolve this?,Delivery Issue,
Can you help me? My package has not been delivered Can you resolve this?,Delivery Issue,
I need help because Can I get a refund for this order? Please help me with this issue.,Refund,
I need help because I made a payment but it is still showing as pending Please help me with this issue.,Payment Issue,
Could you please help? The checkout page is not loading Please help.,Technical Issue,
"Please help me, My transaction failed Can you resolve this?",Payment Issue,
I am facing an issue where How can I request a refund? Can you check this?,Refund,
Something is missing from my order,Order Issue,
Could you please help? The money was deducted from my account but the payment failed Please help me with this issue.,Payment Issue,
I am facing an issue where The delivery date has passed Please look into this.,Delivery Issue,
I am getting an error message Please look into this.,Technical Issue,
I am having a problem because Please cancel my purchase What should I do?,Cancellation,
I need assistance because Please cancel this transaction Can you resolve this?,Cancellation,
My password is not working Can you resolve this?,Account Issue,
Could you please help? I cannot access my account,Account Issue,
I need assistance because The application is not responding Can you resolve this?,Technical Issue,
Could you please help? The delivery is taking longer than expected I need assistance.,Delivery Issue,
I need help because Please process my refund Please help me with this issue.,Refund,
Could you please help? My money has not been refunded Can you resolve this?,Refund,
Can you help me? My subscription payment failed Please look into this.,Subscription,
Could you please help? My payment was deducted but the order was not placed,Payment Issue,
I am having a problem because I have been waiting for my order Please help.,Delivery Issue,
I am having a problem because Cancel my recent order Please help.,Cancellation,
I am facing an issue where How can I request a refund? Please look into this.,Refund,
I need help because The app keeps crashing Can you resolve this?,Technical Issue,
I am having a problem because The application stopped working Please help.,Technical Issue,
"Please help me, The app crashes whenever I open it",Technical Issue,
Could you please help? My delivery is late Can you check this?,Delivery Issue,
How can I cancel my order? Can you check this?,Cancellation,
Can you help me? My transaction failed Please help.,Payment Issue,
Can you help me? My shipment is stuck in transit,Delivery Issue,
I am having a problem because My package is delayed Can you check this?,Delivery Issue,
I need help because I want to change my subscription plan What should I do?,Subscription,
I need assistance because I want to update my account information Please help me with this issue.,Account Issue,
"Please help me, I received the wrong product I need assistance.",Order Issue,
I need help because I am getting an error message Please look into this.,Technical Issue,
Can you help me? Something is missing from my order What should I do?,Order Issue,
"Please help me, I need help with my subscription Can you resolve this?",Subscription,
I am having a problem because I want to cancel my order Please look into this.,Cancellation,
I need assistance because My payment was deducted but the order was not placed Please help.,Payment Issue,
Can you help me? Why is my delivery taking so long?,Delivery Issue,
Could you please help? The wrong product was delivered Can you check this?,Order Issue,
Can you help me? How can I cancel my order?,Cancellation,
I am having a problem because My order is incomplete What should I do?,Order Issue,
I am facing an issue where Something is missing from my order What should I do?,Order Issue,
I am facing an issue where I forgot my login details I need assistance.,Account Issue,
I am facing an issue where I want to change my subscription plan I need assistance.,Subscription,
I am facing an issue where How can I upgrade my subscription? Please help.,Subscription,
"Please help me, I was charged but my order still shows as unpaid Please help me with this issue.",Payment Issue,
"Please help me, How can I upgrade my subscription? What should I do?",Subscription,
Could you please help? Please process my refund What should I do?,Refund,
Can you help me? When will my package be delivered? Can you check this?,Delivery Issue,
I need assistance because Cancel my recent order Can you resolve this?,Cancellation,
I am facing an issue where My package is delayed What should I do?,Delivery Issue,
I am having a problem because Why is my delivery taking so long? Please look into this.,Delivery Issue,
I need help because I was charged for a subscription I cancelled Can you check this?,Subscription,
I need help because My package has not been delivered,Delivery Issue,
Could you please help? The page keeps freezing Please help me with this issue.,Technical Issue,
I am facing an issue where I placed the order by mistake I need assistance.,Cancellation,
I need help because My order contains the wrong product I need assistance.,Order Issue,
I need help because The product I received is damaged Please help me with this issue.,Order Issue,
"Please help me, My package has not been delivered Please help.",Delivery Issue,
I need assistance because I want to cancel the purchase,Cancellation,
I am having a problem because The website is showing an error Can you resolve this?,Technical Issue,
Can you help me? I need to cancel an order I need assistance.,Cancellation,
I need help because Why is my delivery taking so long? Can you check this?,Delivery Issue,
The product I received is damaged Please look into this.,Order Issue,
I am facing an issue where I need help with my subscription Please help.,Subscription,
I am having a problem because How can I reset my password? Please look into this.,Account Issue,
I am having a problem because My order is incomplete Can you resolve this?,Order Issue,
I need assistance because The item I received is not what I purchased,Order Issue,
I need help because I need to cancel an order,Cancellation,
"Please help me, My password is not working Please look into this.",Account Issue,
The refund was approved but I have not received it Please look into this.,Refund,
Could you please help? My order has not arrived yet What should I do?,Delivery Issue,
I need help because My order is still in transit Please look into this.,Delivery Issue,
Could you please help? I was charged for a subscription I cancelled What should I do?,Subscription,
"Please help me, My package has not been delivered I need assistance.",Delivery Issue,
I need assistance because The money was deducted from my account but the payment failed Please help.,Payment Issue,
I am facing an issue where I forgot my login details Please help.,Account Issue,
Could you please help? My order contains a damaged item I need assistance.,Order Issue,
I am facing an issue where My UPI payment failed Please help me with this issue.,Payment Issue,
I am having a problem because I was charged for a subscription I cancelled,Subscription,
I am facing an issue where I cannot access my account What should I do?,Account Issue,
"Please help me, The page keeps freezing",Technical Issue,
I am having a problem because How can I upgrade my subscription? Please help me with this issue.,Subscription,
I need assistance because Please process my refund Please help.,Refund,
I need help because I received a damaged product Can you check this?,Order Issue,
Can you help me? The wrong product was delivered Please help me with this issue.,Order Issue,
"Please help me, My money has not been refunded",Refund,
"Please help me, How can I stop automatic renewal? Please help.",Subscription,
I need help because One item is missing from my order Please help.,Order Issue,
I need help because My UPI payment failed I need assistance.,Payment Issue,
I am having a problem because My money has not been refunded Please help me with this issue.,Refund,
I am facing an issue where My transaction failed Can you check this?,Payment Issue,
I am facing an issue where My delivery is late What should I do?,Delivery Issue,
I am facing an issue where My refund has not arrived,Refund,
I need help because The application stopped working Please look into this.,Technical Issue,
I need assistance because Please refund my order Please help.,Refund,
Could you please help? Can you cancel my order? Please look into this.,Cancellation,
I need help because The refund was approved but I have not received it Please look into this.,Refund,
I am facing an issue where Why did my card payment fail? Can you resolve this?,Payment Issue,
"Please help me, I cannot complete my payment Please help me with this issue.",Payment Issue,
"Please help me, I made a payment but it is still showing as pending Please look into this.",Payment Issue,
Can you help me? The app is very slow What should I do?,Technical Issue,
"Please help me, I want to cancel my subscription",Subscription,
I need help because How long does a refund take? Can you resolve this?,Refund,
Could you please help? I want to cancel my subscription Please look into this.,Subscription,
I am having a problem because I cannot remember my password What should I do?,Account Issue,
I need help because I am having trouble accessing my account Please look into this.,Account Issue,
Can you help me? My shipment is stuck in transit Please help.,Delivery Issue,
"Please help me, Where is my package? Please help me with this issue.",Delivery Issue,
I need assistance because I want to cancel my order Please look into this.,Cancellation,
I need help because I want to cancel before it is shipped Can you check this?,Cancellation,
"Please help me, My package has not been delivered",Delivery Issue,
The application is not responding What should I do?,Technical Issue,
I am facing an issue where There is a technical problem Please look into this.,Technical Issue,
When will my package be delivered? Can you resolve this?,Delivery Issue,
I need help because The item I received is not what I purchased What should I do?,Order Issue,
I am having a problem because Why is my payment pending?,Payment Issue,
I need assistance because My order has not arrived yet Please look into this.,Delivery Issue,
Can you help me? The item I received is not what I purchased Please help me with this issue.,Order Issue,
Can you help me? My order is still in transit,Delivery Issue,
I am facing an issue where The delivery is taking longer than expected I need assistance.,Delivery Issue,
I am facing an issue where My payment failed while placing the order Please help me with this issue.,Payment Issue,
I am having a problem because I was charged but my order still shows as unpaid,Payment Issue,
I need assistance because Please refund my order Please help me with this issue.,Refund,
I am having a problem because The website is not working,Technical Issue,
I need help because The application is not responding Please look into this.,Technical Issue,
I need help because The courier has not delivered my package Can you resolve this?,Delivery Issue,
I am having a problem because I placed the order by mistake Please help.,Cancellation,
Can you help me? How can I request a refund? Please help me with this issue.,Refund,
I am facing an issue where The website is showing an error Please look into this.,Technical Issue,
Can you help me? When will I receive my refund? Can you resolve this?,Refund,
Could you please help? Can I get a refund for this order? Can you check this?,Refund,
I need help because I need my money back Please help me with this issue.,Refund,
"Please help me, The website is showing an error Can you check this?",Technical Issue,
My subscription was renewed automatically,Subscription,
I am facing an issue where The money was deducted from my account but the payment failed Please help me with this issue.,Payment Issue,
I need assistance because I want to upgrade my plan I need assistance.,Subscription,
I need assistance because I am getting an error message,Technical Issue,
Could you please help? I want to upgrade my plan Please look into this.,Subscription,
I need assistance because How do I cancel a purchase? Please help.,Cancellation,
I am having a problem because How do I cancel a purchase? Can you resolve this?,Cancellation,
Can you help me? My order contains the wrong product,Order Issue,
I need help because The delivery is taking longer than expected Please help.,Delivery Issue,
I am having a problem because I have been waiting for my refund Please help me with this issue.,Refund,
"Please help me, I was charged twice for the same transaction Please help me with this issue.",Payment Issue,
Please process my refund I need assistance.,Refund,
I am having a problem because Can you cancel my order? I need assistance.,Cancellation,
"Please help me, My subscription payment failed I need assistance.",Subscription,
I am having a problem because My UPI payment failed I need assistance.,Payment Issue,
I need to cancel an order Please help.,Cancellation,
I have been waiting for my order I need assistance.,Delivery Issue,
"Please help me, I want to downgrade my plan Can you resolve this?",Subscription,
I want to cancel the purchase Please help me with this issue.,Cancellation,
"Please help me, My shipment is stuck in transit Please help me with this issue.",Delivery Issue,
I am having a problem because When will my package be delivered? Please look into this.,Delivery Issue,
I am facing an issue where When does my subscription expire? I need assistance.,Subscription,
I need assistance because My order is incomplete What should I do?,Order Issue,
Could you please help? I want to change my subscription plan What should I do?,Subscription,
Could you please help? My money has not been refunded I need assistance.,Refund,
I need help because When will I receive my refund? I need assistance.,Refund,
The application stopped working What should I do?,Technical Issue,
Could you please help? I want to return the payment and get a refund,Refund,
My delivery is late Can you resolve this?,Delivery Issue,
"Please help me, I cannot access my account Can you check this?",Account Issue,
"Please help me, I received a damaged product Please help me with this issue.",Order Issue,
How can I cancel my order?,Cancellation,
I am facing an issue where How long does a refund take? What should I do?,Refund,
I am having a problem because Something is missing from my order I need assistance.,Order Issue,
Can you help me? My order details are incorrect Can you check this?,Order Issue,
I need help because How do I cancel a purchase? Can you resolve this?,Cancellation,
"Please help me, My subscription was renewed automatically Please help.",Subscription,
I am facing an issue where My account login is not working,Account Issue,
Please process my refund Please look into this.,Refund,
"Please help me, My payment was deducted but the order was not placed Can you check this?",Payment Issue,
Could you please help? My shipment is stuck in transit I need assistance.,Delivery Issue,
I am facing an issue where Where is my package? Please help me with this issue.,Delivery Issue,
I am having a problem because Why is my refund delayed?,Refund,
I am having a problem because The payment keeps getting declined Can you check this?,Payment Issue,
I need assistance because Can I change my subscription? Can you check this?,Subscription,
Could you please help? I want to cancel my order,Cancellation,
I need assistance because The application stopped working I need assistance.,Technical Issue,
I am facing an issue where I want to return the payment and get a refund What should I do?,Refund,
I need help because The refund was approved but I have not received it Can you check this?,Refund,
I need help because The item I received is not what I purchased Please help me with this issue.,Order Issue,
Could you please help? I need to cancel an order Please help.,Cancellation,
I am having a problem because The app is very slow Please help me with this issue.,Technical Issue,
Can you help me? Why was I charged for my subscription? Please help me with this issue.,Subscription,
"Please help me, How do I renew my subscription?",Subscription,
"Please help me, I was charged but my order still shows as unpaid Can you check this?",Payment Issue,
I need assistance because I cannot log into my account Please help me with this issue.,Account Issue,
"Please help me, I need my money back Can you check this?",Refund,
"Please help me, The page keeps freezing Can you resolve this?",Technical Issue,
I am having a problem because My payment was deducted but the order was not placed Please help.,Payment Issue,
"Please help me, My account is locked Can you check this?",Account Issue,
I need assistance because Can you cancel my order? Can you check this?,Cancellation,
I need help because The tracking information has not updated,Delivery Issue,
I need assistance because The app keeps crashing Can you resolve this?,Technical Issue,
"Please help me, One item is missing from my order I need assistance.",Order Issue,
I need help because My delivery is late Can you resolve this?,Delivery Issue,
The app keeps crashing Please help me with this issue.,Technical Issue,
I am having a problem because I want to cancel before it is shipped Can you check this?,Cancellation,
I need help because Why is my payment pending? Please look into this.,Payment Issue,
I need assistance because I placed the order by mistake What should I do?,Cancellation,
I am facing an issue where The money was deducted from my account but the payment failed Please help.,Payment Issue,
I am having a problem because My refund has not arrived,Refund,
Can you help me? I forgot my login details,Account Issue,
My money has not been refunded I need assistance.,Refund,
I need help because Why is my refund delayed? I need assistance.,Refund,
I am having a problem because My transaction failed Can you resolve this?,Payment Issue,
I am facing an issue where I need help with my subscription Can you resolve this?,Subscription,
I need help because I am unable to use the checkout page I need assistance.,Technical Issue,
My subscription was renewed automatically Can you resolve this?,Subscription,
I am facing an issue where My package is delayed Please help.,Delivery Issue,
I need assistance because How can I manage my subscription?,Subscription,
My package is delayed Can you resolve this?,Delivery Issue,
I need assistance because I want to cancel the purchase Please help me with this issue.,Cancellation,
I am facing an issue where How can I stop automatic renewal? I need assistance.,Subscription,
Can you cancel my order? Please help.,Cancellation,
I need assistance because Why was I charged for my subscription? I need assistance.,Subscription,
I am facing an issue where Why did my card payment fail? Please look into this.,Payment Issue,
I need help because I forgot my password Please look into this.,Account Issue,
"Please help me, How do I renew my subscription? I need assistance.",Subscription,
I need assistance because I want to cancel before it is shipped Please look into this.,Cancellation,
I am facing an issue where The wrong product was delivered I need assistance.,Order Issue,
I am facing an issue where I have been waiting for my order Please help me with this issue.,Delivery Issue,
Could you please help? I was charged but my order still shows as unpaid Please look into this.,Payment Issue,
I am having a problem because The money was deducted from my account but the payment failed Please look into this.,Payment Issue,
I need help because The product I received is different from what I ordered Please help.,Order Issue,
"Please help me, My package has not been delivered Please look into this.",Delivery Issue,
Please cancel my purchase Can you check this?,Cancellation,
"Please help me, My order is incomplete Can you check this?",Order Issue,
"Please help me, I cannot open the application Please look into this.",Technical Issue,
My order is showing the wrong item Please help me with this issue.,Order Issue,
I need assistance because I am getting an error message Can you resolve this?,Technical Issue,
I need assistance because I want to change my subscription plan What should I do?,Subscription,
"Please help me, How can I change my password?",Account Issue,
I need assistance because The application stopped working Please help.,Technical Issue,
Could you please help? I need to cancel an order Please look into this.,Cancellation,
Could you please help? I have been waiting for my refund Please help.,Refund,
I need help because The payment gateway is not working I need assistance.,Payment Issue,
My package has not been delivered,Delivery Issue,
I need assistance because Cancel my recent order Please help me with this issue.,Cancellation,
I need assistance because How can I upgrade my subscription? What should I do?,Subscription,
The product I received is different from what I ordered Can you resolve this?,Order Issue,
I need assistance because I want to cancel the purchase Can you check this?,Cancellation,
I am having a problem because One item is missing from my order Can you resolve this?,Order Issue,
I am having a problem because I forgot my password Can you check this?,Account Issue,
I forgot my login details Can you check this?,Account Issue,
I am facing an issue where The item I received is not what I purchased What should I do?,Order Issue,
Could you please help? How do I renew my subscription? Please help me with this issue.,Subscription,
I need assistance because I cannot access my account What should I do?,Account Issue,
Can you cancel my order? Please help me with this issue.,Cancellation,
I need help because I want to upgrade my plan Please look into this.,Subscription,
Could you please help? I was charged but my order still shows as unpaid,Payment Issue,
I am having a problem because I made a payment but it is still showing as pending Please help.,Payment Issue,
Can you help me? My account login is not working Can you resolve this?,Account Issue,
Could you please help? The payment gateway is not working Can you resolve this?,Payment Issue,
I need help because I cannot use the website Please help me with this issue.,Technical Issue,
"Please help me, The delivery date has passed Please help.",Delivery Issue,
Can you help me? I want to return the payment and get a refund Please help me with this issue.,Refund,
I am having a problem because There is an item missing from my package,Order Issue,
"Please help me, The website is showing an error Please help.",Technical Issue,
I need help because I received the wrong size I need assistance.,Order Issue,
Could you please help? How can I change my password? Can you resolve this?,Account Issue,
I am facing an issue where My refund has not arrived Can you check this?,Refund,
"Please help me, I was charged twice for one order Please look into this.",Payment Issue,
Can you help me? I was charged twice for the same transaction Please look into this.,Payment Issue,
"Please help me, My order contains a damaged item What should I do?",Order Issue,
I need assistance because The payment keeps getting declined Please look into this.,Payment Issue,
I am having a problem because I want a refund Can you check this?,Refund,
I need assistance because I was charged but my order still shows as unpaid Please look into this.,Payment Issue,
Something is missing from my order What should I do?,Order Issue,
Can you help me? The website is showing an error Please help me with this issue.,Technical Issue,
"Please help me, I cannot open the application I need assistance.",Technical Issue,
Can you help me? I want to cancel the purchase I need assistance.,Cancellation,
"Please help me, Why was I charged for my subscription? Please help me with this issue.",Subscription,
How can I stop automatic renewal? Can you resolve this?,Subscription,
I need assistance because The courier has not delivered my package,Delivery Issue,
Could you please help? My order is showing the wrong item,Order Issue,
Could you please help? Please refund my order Please help me with this issue.,Refund,
I need help because My order details are incorrect What should I do?,Order Issue,
"Please help me, My package is delayed Please look into this.",Delivery Issue,
I am facing an issue where My password is not working What should I do?,Account Issue,
I am facing an issue where How do I cancel a purchase? Please help me with this issue.,Cancellation,
Can you help me? I am getting an error message I need assistance.,Technical Issue,
Could you please help? Please cancel this transaction What should I do?,Cancellation,
Could you please help? When does my subscription expire? Please help me with this issue.,Subscription,
Could you please help? The product I received is damaged,Order Issue,
I am facing an issue where I want to return the payment and get a refund Please help me with this issue.,Refund,
Could you please help? The delivery date has passed Can you check this?,Delivery Issue,
Can you help me? I want to return the payment and get a refund Please help.,Refund,
"Please help me, Can I get a refund for this order? Please look into this.",Refund,
The app is very slow Can you check this?,Technical Issue,
I need help because I was charged twice for one order Please look into this.,Payment Issue,
Where is my package? What should I do?,Delivery Issue,
"Please help me, I have been waiting for my refund",Refund,
