ticket,resolution_time_hours
I need help because My payment failed but money was deducted,13.1
I am facing an issue where My package has not arrived Can you look into this?,22.1
I need help cancelling an order that has already shipped Please help me.,14.4
Can you help me with this? The website keeps freezing Please resolve this issue.,8.0
I am facing an issue where Someone accessed my account and I cannot log in Can you check this?,10.0
I need help because My payment failed,5.7
I am having a problem because I want to update my phone number Can you look into this?,2.2
I need help because The tracking information has not been updated,8.7
I need assistance because An item is missing from my order I need this resolved.,20.3
I need assistance because I need help cancelling an order that has already shipped Can you check this?,15.7
Can you help me with this? I was charged after cancelling my subscription Please help me.,12.5
I am having a problem because The website keeps freezing Please resolve this issue.,6.3
"Please help me, My parcel has been delayed for several days",14.1
Can you help me with this? My delivery is slightly delayed Can you look into this?,10.2
I am having a problem because My payment failed,5.5
I am having a problem because My card payment was declined Can you look into this?,5.1
Can you help me with this? I cannot place an order because the website crashes I need this resolved.,13.5
Can you help me with this? My card payment was declined,7.3
I need help because Someone accessed my account and I cannot log in Please help me.,11.4
I am facing an issue where My refund amount is incorrect Please help me.,38.0
I need help because I was charged twice for the same transaction Please help me.,12.7
I am having a problem because My package has not arrived Please help me.,25.5
"Please help me, My card payment was declined Can you look into this?",5.3
Can you help me with this? Where can I see my order status? Please resolve this issue.,6.4
I need assistance because I was charged twice for the same transaction Please resolve this issue.,9.8
I am having a problem because The website is not loading properly Please help me.,6.6
I am facing an issue where How can I change my email address? Please help me.,1.2
I was charged twice for the same transaction Can you check this?,11.5
I am having a problem because My payment failed but money was deducted Please help me.,8.3
I am having a problem because I need help cancelling an order that has already shipped Please help me.,14.2
I am facing an issue where My parcel has been delayed for several days Can you look into this?,11.0
I am having a problem because I requested a refund for my purchase,24.3
I need help because I want to cancel my order but it has already been processed I need this resolved.,11.8
I need assistance because I was charged for my subscription Please resolve this issue.,9.4
I was charged twice for the same transaction Please help me.,12.6
"Please help me, My order information is incorrect Can you check this?",12.0
"Please help me, I want to cancel my order Can you look into this?",4.1
Can you help me with this? I need help cancelling an order that has already shipped Please resolve this issue.,10.8
Can you help me with this? Where can I see my order status? Can you check this?,8.4
I need help because I need help cancelling an order that has already shipped,16.3
I am facing an issue where The payment page is not working,12.0
Can you help me with this? The app keeps crashing when I try to use it Can you check this?,8.7
I am having a problem because My order information is incorrect Can you check this?,7.9
I need to update my profile information I need this resolved.,2.1
I need help because My account is locked and I cannot access it Please help me.,5.6
I am having a problem because I need to update my profile information Please resolve this issue.,1.1
"Please help me, My parcel has been delayed for several days Can you check this?",15.5
"Please help me, I cannot place an order because the website crashes Can you look into this?",12.5
Can you help me with this? The payment page is not working Can you check this?,16.8
I am facing an issue where I want to cancel my order but it has already been processed,9.6
I am facing an issue where My payment failed Can you look into this?,3.1
"Please help me, A large unauthorized payment was made from my account I need this resolved.",29.1
I need help because My order is incomplete Please resolve this issue.,12.3
I am facing an issue where I was charged for my subscription Please resolve this issue.,9.8
My refund amount is incorrect Please resolve this issue.,44.4
"Please help me, There is an unknown transaction on my card",14.5
I need assistance because I have been waiting several days for my refund I need this resolved.,58.1
I need help because My parcel has been delayed for several days Please resolve this issue.,10.8
How can I change my subscription plan?,4.8
Can you help me with this? A large unauthorized payment was made from my account Can you check this?,29.5
I forgot my password and cannot log in Can you check this?,3.1
Can you help me with this? My refund has not arrived yet Please resolve this issue.,31.7
I am facing an issue where I want a refund for my order Can you look into this?,18.5
I am having a problem because I was charged after cancelling my subscription Can you check this?,15.3
I am facing an issue where A large unauthorized payment was made from my account Can you check this?,25.8
Can you help me with this? My payment failed Please resolve this issue.,5.7
I need help because My refund has not arrived yet Please resolve this issue.,39.8
"Please help me, Please cancel my recent purchase I need this resolved.",3.9
I am having a problem because A large unauthorized payment was made from my account I need this resolved.,20.6
I need help because I forgot my password and cannot log in Please help me.,2.6
I am facing an issue where Where can I see my order status? Please help me.,6.3
"Please help me, Someone accessed my account and I cannot log in Please help me.",8.6
The tracking information has not been updated Can you look into this?,14.9
I am facing an issue where Please cancel my recent purchase,5.9
Can you help me with this? My package has not arrived Can you look into this?,28.4
"Please help me, My card payment was declined",4.8
"Please help me, Someone accessed my account and I cannot log in",8.5
I am having a problem because I want a refund for my order Please resolve this issue.,20.2
"Please help me, My payment failed Please resolve this issue.",5.9
I need help because Where can I see my order status? Please help me.,8.2
Can you help me with this? Someone accessed my account and I cannot log in Please help me.,7.4
I need assistance because My order information is incorrect,8.8
My refund has not arrived yet,28.9
I want to cancel my order I need this resolved.,3.4
Can you help me with this? I was charged after cancelling my subscription I need this resolved.,10.7
I need assistance because The payment page is not working Can you check this?,13.7
Can you help me with this? A large unauthorized payment was made from my account I need this resolved.,21.9
Can you help me with this? My refund amount is incorrect Please help me.,33.4
My payment failed Can you check this?,6.0
I need help because My refund has not arrived yet I need this resolved.,32.5
I am facing an issue where An item is missing from my order,21.5
"Please help me, The refund was approved but I have not received the money Please help me.",46.8
"Please help me, Please cancel my recent purchase Can you check this?",3.8
How can I change my subscription plan? Please help me.,2.0
I am facing an issue where An item is missing from my order Can you check this?,13.4
I am facing an issue where I want to cancel my subscription I need this resolved.,5.2
I was charged twice for the same transaction Can you look into this?,14.9
I am having a problem because I have been waiting several days for my refund I need this resolved.,45.0
I am having a problem because I forgot my password and cannot log in Can you check this?,4.0
"Please help me, My package has not arrived",21.3
I need help because I received the wrong item,25.6
I need help because My subscription benefits are not working Can you check this?,16.4
I need help because How can I change my subscription plan? Can you look into this?,4.9
Can you help me with this? I want a refund for my order Can you check this?,28.0
I am facing an issue where The website keeps freezing,9.0
Can you help me with this? I want to update my phone number I need this resolved.,2.2
"Please help me, I want to update my phone number Please resolve this issue.",1.3
I am facing an issue where How can I change my subscription plan? I need this resolved.,3.2
I am facing an issue where Someone accessed my account and I cannot log in Can you look into this?,9.7
"Please help me, I need to update my profile information Please resolve this issue.",2.9
How can I change my subscription plan? Can you check this?,4.1
I need help because My payment failed Can you check this?,6.9
I am facing an issue where The refund was approved but I have not received the money Can you check this?,44.6
I want to cancel my order Can you look into this?,3.0
Can you help me with this? My payment failed but money was deducted Please resolve this issue.,9.1
I need assistance because I was charged for my subscription Please help me.,9.0
How can I change my email address?,1.2
I am having a problem because The website keeps freezing Please help me.,5.5
I need assistance because I have been waiting several days for my refund Can you look into this?,39.5
I am facing an issue where I received the wrong item Can you check this?,24.3
The website is completely unavailable,20.0
I need help because I cannot place an order because the website crashes Please resolve this issue.,9.0
The app keeps crashing when I try to use it I need this resolved.,17.2
"Please help me, My payment failed Can you look into this?",5.6
"Please help me, I was charged for my subscription Please resolve this issue.",9.7
I need help because I have been waiting several days for my refund Please resolve this issue.,54.8
I am having a problem because I need to update my profile information Please help me.,1.8
Can you help me with this? I need help cancelling an order that has already shipped,10.8
"Please help me, I need to cancel an order that has not shipped Can you check this?",3.3
I am facing an issue where I need to update my profile information I need this resolved.,1.2
Can you help me with this? My package is missing and the delivery shows completed,38.4
"Please help me, I cannot place an order because the website crashes Please help me.",15.8
Can you help me with this? I need to cancel an order that has not shipped Can you look into this?,5.0
I am facing an issue where My account is locked and I cannot access it Can you check this?,6.5
Can you help me with this? My delivery is slightly delayed Please help me.,11.1
"Please help me, My refund amount is incorrect I need this resolved.",41.7
I am having a problem because I was charged twice for the same transaction Can you look into this?,8.3
I need assistance because My package is missing and the delivery shows completed Please resolve this issue.,27.9
"Please help me, The payment page is not working Can you look into this?",8.8
I am having a problem because I requested a refund for my purchase Please help me.,25.4
I need help because The tracking information has not been updated I need this resolved.,12.3
I was charged twice for the same transaction I need this resolved.,13.1
I am having a problem because The website is completely unavailable Please help me.,22.8
I want a refund for my order Please resolve this issue.,24.2
I need help because My payment failed but money was deducted Please resolve this issue.,9.6
I am having a problem because My entire order is missing,26.9
I am having a problem because The app keeps crashing when I try to use it Please help me.,15.9
I am having a problem because I need to update my profile information Can you look into this?,1.4
"Please help me, I was charged for my subscription Can you look into this?",7.7
I am having a problem because I need to update my profile information,1.3
I am facing an issue where My refund amount is incorrect Can you check this?,30.1
"Please help me, I want a refund for my order Please resolve this issue.",19.7
I need help because How can I change my email address? I need this resolved.,1.5
I need help because I was charged twice for the same transaction I need this resolved.,8.6
I am having a problem because The website is not loading properly,4.1
I am facing an issue where My refund has not arrived yet Please resolve this issue.,30.5
I need help because I cannot access my paid subscription Please help me.,18.7
I need help because I have been waiting several days for my refund Please help me.,52.9
I need assistance because The website keeps freezing Can you look into this?,7.4
Can you help me with this? I cannot access my paid subscription Can you check this?,18.1
I am having a problem because The payment page is not working Please help me.,16.9
I am facing an issue where My delivery is slightly delayed Can you check this?,10.1
The website keeps freezing,10.8
I am having a problem because Where can I see my order status? Can you look into this?,8.7
I am facing an issue where My order information is incorrect Can you look into this?,6.1
I am having a problem because An item is missing from my order Can you check this?,12.9
I need help because I want to cancel my order but it has already been processed,11.7
I am facing an issue where I was charged for my subscription Can you look into this?,6.8
I am facing an issue where My payment failed but money was deducted I need this resolved.,14.8
I need help because My order is incomplete Can you look into this?,19.6
I am having a problem because An item is missing from my order Please help me.,19.3
I need assistance because My refund amount is incorrect,36.5
I need assistance because My subscription benefits are not working I need this resolved.,16.0
I need help because I cannot place an order because the website crashes I need this resolved.,14.6
I need assistance because I need help cancelling an order that has already shipped Can you look into this?,19.7
Can you help me with this? I want to cancel my order I need this resolved.,2.4
"Please help me, I want to cancel my subscription Please resolve this issue.",3.8
Can you help me with this? The tracking information has not been updated Can you check this?,12.0
I am facing an issue where A large unauthorized payment was made from my account Please help me.,23.3
I need help because The website is not loading properly Can you check this?,7.1
I need assistance because How can I change my email address?,2.2
Can you help me with this? How can I change my email address? I need this resolved.,1.8
Can you help me with this? I received the wrong item Please resolve this issue.,19.7
I am having a problem because I was charged after cancelling my subscription Please help me.,13.5
I am having a problem because My order is incomplete Please help me.,12.3
I am facing an issue where The tracking information has not been updated I need this resolved.,15.4
"Please help me, My package is missing and the delivery shows completed Please resolve this issue.",25.6
I need assistance because I was charged after cancelling my subscription Please resolve this issue.,15.6
Can you help me with this? The website is completely unavailable,22.4
The app keeps crashing when I try to use it Can you check this?,15.5
I am having a problem because My package is missing and the delivery shows completed Please resolve this issue.,28.0
"Please help me, I received the wrong item Please resolve this issue.",25.6
There is an unknown transaction on my card I need this resolved.,16.5
I am having a problem because I want to cancel my order but it has already been processed Please help me.,5.4
I need assistance because A large unauthorized payment was made from my account,28.6
My subscription benefits are not working Please help me.,12.4
Can you help me with this? My payment failed Please help me.,5.2
I am having a problem because My package has not arrived Please resolve this issue.,29.6
Can you help me with this? I want to update my phone number Can you look into this?,1.8
I am having a problem because I have been waiting several days for my refund Please help me.,46.1
I am having a problem because I want to update my phone number Please resolve this issue.,2.3
I need help because My account is locked and I cannot access it,6.9
I need assistance because I need to update my profile information I need this resolved.,1.9
I am facing an issue where A large unauthorized payment was made from my account,19.3
I need assistance because My parcel has been delayed for several days Can you check this?,16.5
I need assistance because Someone accessed my account and I cannot log in,7.8
"Please help me, I requested a refund for my purchase Can you check this?",22.8
I need assistance because My payment failed but money was deducted,12.4
"Please help me, There is an unknown transaction on my card Can you check this?",10.8
I am facing an issue where I forgot my password and cannot log in Can you check this?,3.2
I am having a problem because I need help cancelling an order that has already shipped,13.6
I am facing an issue where I cannot access my paid subscription Can you check this?,20.0
I am having a problem because My card payment was declined Please help me.,5.6
"Please help me, My order information is incorrect I need this resolved.",6.7
I am facing an issue where I requested a refund for my purchase Please resolve this issue.,28.2
I need help because I requested a refund for my purchase I need this resolved.,22.7
My card payment was declined Please help me.,6.0
I am having a problem because I was charged twice for the same transaction Please resolve this issue.,15.4
The app keeps crashing when I try to use it Please help me.,17.3
"Please help me, My refund amount is incorrect",46.7
The website keeps freezing Please resolve this issue.,5.8
"Please help me, I was charged after cancelling my subscription Can you look into this?",12.9
Please cancel my recent purchase I need this resolved.,2.1
I need assistance because I was charged for my subscription I need this resolved.,5.7
I need assistance because I want to cancel my order,3.6
I am facing an issue where I need to update my profile information,1.5
I need assistance because The website keeps freezing Please resolve this issue.,7.2
I forgot my password and cannot log in,2.2
I am having a problem because I cannot place an order because the website crashes Can you check this?,9.6
"Please help me, The payment page is not working I need this resolved.",14.3
I am facing an issue where The website is completely unavailable Please resolve this issue.,25.2
I am having a problem because My package is missing and the delivery shows completed I need this resolved.,29.7
Can you help me with this? My order is incomplete Please resolve this issue.,10.1
I need assistance because I have been waiting several days for my refund Please help me.,60.0
"Please help me, I cannot access my paid subscription Can you check this?",13.6
I need help because My delivery is slightly delayed Please help me.,11.3
I cannot place an order because the website crashes I need this resolved.,8.9
I need assistance because My payment failed but money was deducted I need this resolved.,9.6
I am having a problem because My account is locked and I cannot access it Please help me.,5.9
I want to cancel my order but it has already been processed Can you check this?,11.5
I am facing an issue where How can I change my subscription plan? Can you check this?,4.2
My refund amount is incorrect Can you check this?,40.4
Can you help me with this? My order is incomplete Please help me.,14.3
I need assistance because The app keeps crashing when I try to use it Can you look into this?,11.7
Can you help me with this? My order information is incorrect Can you look into this?,9.2
My package has not arrived I need this resolved.,18.8
I am having a problem because I need to cancel an order that has not shipped Can you look into this?,2.4
"Please help me, I want to cancel my order Can you check this?",4.9
Can you help me with this? I want to cancel my order Can you look into this?,3.1
I need help because I was charged after cancelling my subscription Can you check this?,14.4
I need help because Someone accessed my account and I cannot log in I need this resolved.,8.9
I am facing an issue where I need to cancel an order that has not shipped Please help me.,3.2
"Please help me, A large unauthorized payment was made from my account Please resolve this issue.",22.0
I need assistance because My subscription benefits are not working,9.5
"Please help me, I cannot access my paid subscription Please help me.",15.9
"Please help me, The website is not loading properly Please help me.",5.9
I am having a problem because The website is not loading properly Please resolve this issue.,9.8
I want to update my phone number,2.7
I am facing an issue where Where is my package? Can you check this?,9.8
I am having a problem because My package has not arrived I need this resolved.,23.8
"Please help me, My payment failed Please help me.",3.4
Can you help me with this? My card payment was declined Please help me.,4.9
The website is not loading properly,8.6
I am facing an issue where The website is completely unavailable I need this resolved.,17.5
Can you help me with this? I need help cancelling an order that has already shipped Can you look into this?,10.9
I am having a problem because The refund was approved but I have not received the money Please help me.,30.8
Can you help me with this? I was charged for my subscription I need this resolved.,7.0
"Please help me, The app keeps crashing when I try to use it Can you look into this?",11.5
Can you help me with this? My refund has not arrived yet I need this resolved.,29.5
"Please help me, My order information is incorrect Please resolve this issue.",11.9
I need assistance because The website is not loading properly,9.7
The website is not loading properly Can you look into this?,8.0
I need to update my profile information Can you check this?,1.3
I am facing an issue where There is an unknown transaction on my card,15.1
Can you help me with this? My refund has not arrived yet,31.2
An item is missing from my order I need this resolved.,18.6
I need assistance because A large unauthorized payment was made from my account Can you check this?,27.5
I am having a problem because My package has not arrived,19.5
Can you help me with this? The website is completely unavailable Please help me.,19.1
I need assistance because My payment failed Can you check this?,5.3
I am having a problem because How can I change my subscription plan? Please help me.,4.6
Can you help me with this? The tracking information has not been updated I need this resolved.,12.7
I need assistance because The tracking information has not been updated Can you check this?,15.4
"Please help me, I was charged after cancelling my subscription Can you check this?",12.5
I need assistance because I need to cancel an order that has not shipped Please resolve this issue.,3.4
I am having a problem because My payment failed Please help me.,5.7
I received the wrong item Please help me.,22.9
I need assistance because I need help cancelling an order that has already shipped Please help me.,18.0
I am facing an issue where An item is missing from my order Can you look into this?,22.4
I need help because My package has not arrived I need this resolved.,27.2
I need help because I want to cancel my order but it has already been processed Can you check this?,8.9
I received the wrong item Can you look into this?,15.6
I need assistance because I need to update my profile information,2.7
I am facing an issue where I forgot my password and cannot log in Please help me.,3.7
I want a refund for my order Can you check this?,28.6
I want to update my phone number Please resolve this issue.,2.8
I am having a problem because I cannot place an order because the website crashes Please resolve this issue.,14.7
I need assistance because I want to cancel my order Can you look into this?,4.3
I need help because My package has not arrived Please resolve this issue.,28.3
"Please help me, My parcel has been delayed for several days I need this resolved.",19.5
I need assistance because My refund has not arrived yet Please resolve this issue.,26.7
I need assistance because My order is incomplete I need this resolved.,10.5
I was charged after cancelling my subscription Please help me.,10.6
I am having a problem because I was charged twice for the same transaction Please help me.,8.9
Can you help me with this? I forgot my password and cannot log in Please help me.,2.7
"Please help me, I forgot my password and cannot log in Can you look into this?",4.5
Can you help me with this? I want a refund for my order Please resolve this issue.,19.0
I need help because I forgot my password and cannot log in Can you check this?,4.8
"Please help me, An item is missing from my order I need this resolved.",22.7
Where can I see my order status? Can you look into this?,5.3
I am having a problem because The website is not loading properly Can you look into this?,4.4
I am facing an issue where My order is incomplete Please help me.,13.6
I need help because I want to cancel my order Please resolve this issue.,2.7
The app keeps crashing when I try to use it,10.6
I need help because My refund amount is incorrect,30.2
I am having a problem because My payment failed but money was deducted,8.1
A large unauthorized payment was made from my account Can you check this?,27.3
I need assistance because How can I change my email address? Can you check this?,2.4
My payment failed,6.1
I am having a problem because I was charged after cancelling my subscription Please resolve this issue.,9.6
"Please help me, The website is not loading properly Please resolve this issue.",5.8
I need help because My account is locked and I cannot access it Can you check this?,6.1
I am facing an issue where My account is locked and I cannot access it Can you look into this?,6.9
I requested a refund for my purchase Can you check this?,30.2
"Please help me, The website is completely unavailable Please resolve this issue.",15.2
"Please help me, My card payment was declined I need this resolved.",3.0
"Please help me, I have been waiting several days for my refund Can you look into this?",57.9
I am having a problem because I have been waiting several days for my refund Please resolve this issue.,40.9
I am having a problem because I need to update my profile information Can you check this?,1.6
I need help because My package is missing and the delivery shows completed Please resolve this issue.,28.7
I am having a problem because The website keeps freezing Can you look into this?,6.6
I need help because My package is missing and the delivery shows completed Can you look into this?,26.3
I am having a problem because I want to cancel my order,4.7
Can you help me with this? The tracking information has not been updated Please help me.,12.1
Can you help me with this? I requested a refund for my purchase Please help me.,27.4
Where is my package? I need this resolved.,6.9
My order is incomplete,18.5
I am facing an issue where The app keeps crashing when I try to use it,8.2
Can you help me with this? I want to cancel my order but it has already been processed Can you look into this?,10.6
I need help because My account is locked and I cannot access it I need this resolved.,4.2
I need assistance because I received the wrong item I need this resolved.,16.8
I need help because I have been waiting several days for my refund I need this resolved.,44.5
I am having a problem because My package has not arrived Can you look into this?,29.2
I need help because I received the wrong item Please resolve this issue.,27.5
Can you help me with this? My package is missing and the delivery shows completed Please resolve this issue.,34.9
The website is completely unavailable Can you look into this?,16.7
"Please help me, How can I change my email address? Please resolve this issue.",1.8
I need assistance because The refund was approved but I have not received the money Please resolve this issue.,35.6
I need assistance because My subscription benefits are not working Can you look into this?,9.8
My parcel has been delayed for several days,15.5
Can you help me with this? I want to cancel my subscription Please resolve this issue.,2.3
"Please help me, I was charged twice for the same transaction Please help me.",14.2
I need assistance because I forgot my password and cannot log in I need this resolved.,5.0
I am facing an issue where There is an unknown transaction on my card Please help me.,19.8
I need assistance because I want to cancel my order but it has already been processed I need this resolved.,6.8
I need help because Please cancel my recent purchase Please resolve this issue.,2.3
I need help because The payment page is not working,16.0
I need assistance because How can I change my subscription plan? Can you check this?,2.5
"Please help me, Please cancel my recent purchase",2.6
I need help because The tracking information has not been updated Can you look into this?,14.7
I need help because I want a refund for my order Can you check this?,26.8
My parcel has been delayed for several days Please resolve this issue.,12.3
I need assistance because My order information is incorrect I need this resolved.,9.1
Can you help me with this? My order information is incorrect Can you check this?,10.7
I am having a problem because Where is my package? I need this resolved.,9.7
I am having a problem because I cannot access my paid subscription Can you check this?,21.0
Can you help me with this? Please cancel my recent purchase,2.1
The tracking information has not been updated Can you check this?,10.6
"Please help me, My order is incomplete Please help me.",18.3
I need assistance because I cannot access my paid subscription Please resolve this issue.,11.1
I am having a problem because My order is incomplete Please resolve this issue.,11.0
Can you help me with this? Where can I see my order status?,7.4
I need help because My delivery is slightly delayed Can you check this?,11.0
Can you help me with this? I received the wrong item,15.6
Can you help me with this? My refund amount is incorrect I need this resolved.,43.1
I am having a problem because Someone accessed my account and I cannot log in Please resolve this issue.,9.2
I am facing an issue where Please cancel my recent purchase Can you check this?,3.2
I need help because My order information is incorrect Can you look into this?,11.9
I need assistance because I was charged for my subscription Can you check this?,6.9
I am having a problem because My entire order is missing Can you look into this?,35.3
I am having a problem because How can I change my email address? I need this resolved.,1.6
I am having a problem because My subscription benefits are not working,12.1
Where is my package? Please resolve this issue.,7.1
I need help because The website keeps freezing Please resolve this issue.,11.0
I need help because My payment failed but money was deducted Can you check this?,13.0
The refund was approved but I have not received the money I need this resolved.,40.1
I need help because I need help cancelling an order that has already shipped I need this resolved.,17.7
I need assistance because The tracking information has not been updated,14.1
I need help because My card payment was declined Can you look into this?,8.0
I am facing an issue where I need to cancel an order that has not shipped I need this resolved.,4.9
I requested a refund for my purchase,23.9
Can you help me with this? My order information is incorrect,9.8
"Please help me, My refund amount is incorrect Can you look into this?",48.8
Can you help me with this? I cannot access my paid subscription I need this resolved.,14.8
I need assistance because The app keeps crashing when I try to use it I need this resolved.,9.9
The website is not loading properly Please help me.,8.2
I am having a problem because The payment page is not working Please resolve this issue.,14.6
I am facing an issue where The website is not loading properly I need this resolved.,7.6
I am facing an issue where I have been waiting several days for my refund I need this resolved.,49.9
I am facing an issue where The website keeps freezing Please help me.,9.5
I need help because I received the wrong item I need this resolved.,21.8
Can you help me with this? The website is not loading properly Please resolve this issue.,6.1
I need assistance because I want to cancel my order Can you check this?,2.5
I need assistance because I want to cancel my order but it has already been processed Can you look into this?,5.4
I need help because An item is missing from my order Please help me.,12.6
I need help because I want a refund for my order,29.4
I am facing an issue where I cannot place an order because the website crashes I need this resolved.,14.6
I need help because I was charged for my subscription I need this resolved.,9.1
I need assistance because Where can I see my order status? Can you check this?,6.5
I need help because Where is my package? Please help me.,5.8
Can you help me with this? The tracking information has not been updated Can you look into this?,10.3
"Please help me, I have been waiting several days for my refund I need this resolved.",51.1
I was charged after cancelling my subscription Please resolve this issue.,14.7
I am facing an issue where My parcel has been delayed for several days Can you check this?,14.3
My subscription benefits are not working Can you check this?,10.8
I need help because I forgot my password and cannot log in Can you look into this?,2.9
Can you help me with this? Where is my package? I need this resolved.,9.0
"Please help me, My payment failed",6.8
I need assistance because My card payment was declined Please help me.,7.0
Can you help me with this? The website keeps freezing Can you check this?,7.4
"Please help me, I need to cancel an order that has not shipped Please resolve this issue.",2.6
Can you help me with this? My refund amount is incorrect Can you look into this?,32.5
"Please help me, I want to update my phone number I need this resolved.",2.9
I am facing an issue where I have been waiting several days for my refund Can you check this?,43.0
I need assistance because Someone accessed my account and I cannot log in Can you check this?,11.5
I am having a problem because The app keeps crashing when I try to use it Please resolve this issue.,12.0
Can you help me with this? I have been waiting several days for my refund Please resolve this issue.,47.7
Can you help me with this? I need to cancel an order that has not shipped I need this resolved.,4.8
"Please help me, My payment failed Can you check this?",6.1
I am facing an issue where A large unauthorized payment was made from my account Please resolve this issue.,26.6
Can you help me with this? Please cancel my recent purchase Can you check this?,5.3
I am facing an issue where I was charged for my subscription I need this resolved.,5.2
The refund was approved but I have not received the money,35.2
I am having a problem because Please cancel my recent purchase Please resolve this issue.,4.9
"Please help me, I cannot access my paid subscription Please resolve this issue.",12.1
I am having a problem because My order information is incorrect Can you look into this?,8.3
My subscription benefits are not working Can you look into this?,16.2
Can you help me with this? How can I change my email address?,1.1
I am having a problem because I was charged twice for the same transaction Can you check this?,9.0
I am having a problem because I cannot access my paid subscription Please resolve this issue.,15.8
I need help because I requested a refund for my purchase Can you check this?,28.5
I am facing an issue where I was charged after cancelling my subscription,10.9
I am having a problem because I cannot place an order because the website crashes Can you look into this?,13.5
I am facing an issue where My delivery is slightly delayed Can you look into this?,10.9
Can you help me with this? I want a refund for my order Can you look into this?,29.8
I am facing an issue where Someone accessed my account and I cannot log in Please resolve this issue.,7.0
I need help because How can I change my subscription plan? Please resolve this issue.,4.5
I am having a problem because I forgot my password and cannot log in Please help me.,2.1
I need help because My entire order is missing I need this resolved.,28.7
"Please help me, My delivery is slightly delayed Please help me.",10.8
I am facing an issue where I want to cancel my order I need this resolved.,3.3
"Please help me, I want to cancel my subscription",5.6
