ticket,sentiment
I am really annoyed that change an order. Please provide a solution quickly.,Negative
I am satisfied with how this was handled. my card payment is still pending. I really appreciate your help.,Positive
This is unacceptable because check my order status. Please provide a solution quickly.,Negative
Everything is working perfectly now. update my profile. I am happy with the solution.,Positive
I am very happy with the service. parcel has not arrived. I am happy with the solution.,Positive
The service has been excellent. update my profile. Thank you for the excellent support.,Positive
I really appreciate the quick response. tracking information is not updating. I really appreciate your help.,Positive
The issue was handled perfectly. website is not loading. I really appreciate your help.,Positive
I need to know how to change my account details.,Neutral
Could you tell me whether product does not work.,Neutral
Could you please explain checkout is not working.,Neutral
I am unhappy with change an order. This needs to be sorted out.,Negative
I would like to know about the application is running slowly.,Neutral
I am satisfied with how this was handled. product does not work. Thank you for the excellent support.,Positive
Everything is working perfectly now. change my email address. Thank you for the excellent support.,Positive
I want to check checkout is not working.,Neutral
Can you tell me how to product quality is poor.,Neutral
This has been a terrible experience because check my order status. This needs to be sorted out.,Negative
I am unhappy with unlock my account. I have already waited long enough.,Negative
Thanks for resolving this so quickly. change my account details. Thanks for making this easy.,Positive
I am very dissatisfied with unlock my account. Please fix this as soon as possible.,Negative
"Thank you, everything was resolved quickly. payment was declined. This was handled very well.",Positive
I have been waiting too long for login page is not working. I need this resolved immediately.,Negative
Everything is working perfectly now. change an order. I am happy with the solution.,Positive
Everything is working perfectly now. payment was charged twice. Thank you for the excellent support.,Positive
I am very dissatisfied with change my account details. I have already waited long enough.,Negative
Thanks for resolving this so quickly. login page is not working. Thank you for the excellent support.,Positive
Please provide details about order confirmation.,Neutral
I really appreciate the quick response. product is damaged. I am happy with the solution.,Positive
I am very dissatisfied with package arrived late. I have already waited long enough.,Negative
This is very disappointing because reset my password. Please fix this as soon as possible.,Negative
I would like to know about update my profile.,Neutral
I am angry about change an order. I need this resolved immediately.,Negative
This has been a terrible experience because unlock my account. I need this resolved immediately.,Negative
Can you help me with change my email address.,Neutral
I need to know how to update my phone number.,Neutral
I would like to know about delivery date changed.,Neutral
Please provide details about package is delayed.,Neutral
Thanks for resolving this so quickly. payment was charged twice. I really appreciate your help.,Positive
"Thank you, everything was resolved quickly. page is freezing. I really appreciate your help.",Positive
This is very disappointing because page is freezing. Please provide a solution quickly.,Negative
This is unacceptable because order confirmation. Please provide a solution quickly.,Negative
Everything is working perfectly now. delivery address needs to be changed. Thank you for the excellent support.,Positive
"Thank you, everything was resolved quickly. money was deducted but the order failed. I am happy with the solution.",Positive
This has been a terrible experience because change an order. Please fix this as soon as possible.,Negative
I am very happy with the service. order was cancelled. I really appreciate your help.,Positive
I need to know how to delivery address needs to be changed.,Neutral
Could you tell me whether product is damaged.,Neutral
I am upset about I do not recognize a transaction. I need this resolved immediately.,Negative
I am really annoyed that tracking information is not updating. This needs to be sorted out.,Negative
I would like help with change my email address.,Neutral
The issue was handled perfectly. payment was charged twice. Thank you for the excellent support.,Positive
This has been a terrible experience because product is damaged. I have already waited long enough.,Negative
I am upset about reset my password. This needs to be sorted out.,Negative
This is unacceptable because money was deducted but the order failed. This needs to be sorted out.,Negative
I am very dissatisfied with payment was charged twice. This needs to be sorted out.,Negative
I need to know how to cancel my order.,Neutral
I really appreciate the quick response. payment was charged twice. Thank you for the excellent support.,Positive
Could you please explain my card payment is still pending.,Neutral
This is unacceptable because change an order. This needs to be sorted out.,Negative
This has been a terrible experience because app keeps crashing. This needs to be sorted out.,Negative
I need to know how to parcel has not arrived.,Neutral
Could you please explain I do not recognize a transaction.,Neutral
I am unhappy with change my email address. I have already waited long enough.,Negative
I need to know how to order was cancelled.,Neutral
I am unhappy with login page is not working. I have already waited long enough.,Negative
Can you tell me how to change my account details.,Neutral
The service has been excellent. delivery address needs to be changed. I am happy with the solution.,Positive
Could you tell me whether change my account details.,Neutral
Can you help me with reset my password.,Neutral
The support team was very helpful. app keeps crashing. I am happy with the solution.,Positive
The support team was very helpful. order was cancelled. I am happy with the solution.,Positive
This is unacceptable because reset my password. Please fix this as soon as possible.,Negative
I would like to know about order was cancelled.,Neutral
I would like to know about product does not work.,Neutral
Everything is working perfectly now. my card payment is still pending. Thank you for the excellent support.,Positive
I am very dissatisfied with checkout is not working. I have already waited long enough.,Negative
This is unacceptable because reset my password. This needs to be sorted out.,Negative
Could you please explain package is delayed.,Neutral
I am upset about product quality is poor. Please fix this as soon as possible.,Negative
The support team was very helpful. change an order. Thank you for the excellent support.,Positive
I am upset about my card payment is still pending. I need this resolved immediately.,Negative
Thanks for resolving this so quickly. package is delayed. Thank you for the excellent support.,Positive
I am extremely frustrated because payment was declined. I need this resolved immediately.,Negative
I want to check unlock my account.,Neutral
I am satisfied with how this was handled. checkout is not working. I really appreciate your help.,Positive
I need information about change an order.,Neutral
I want to check item is missing.,Neutral
I would like help with order was cancelled.,Neutral
I am satisfied with how this was handled. I do not recognize a transaction. I really appreciate your help.,Positive
I am angry about delivery address needs to be changed. Please fix this as soon as possible.,Negative
This is unacceptable because login page is not working. I need this resolved immediately.,Negative
The issue was handled perfectly. website is not loading. I am happy with the solution.,Positive
Can you tell me how to product does not work.,Neutral
I am upset about change my account details. I have already waited long enough.,Negative
I need to know how to I do not recognize a transaction.,Neutral
I am angry about I want to return an item. Please provide a solution quickly.,Negative
"Great support, my problem is fixed now. order confirmation. I really appreciate your help.",Positive
This is unacceptable because update my phone number. I have already waited long enough.,Negative
I would like help with update my phone number.,Neutral
"Great support, my problem is fixed now. order the wrong item. I am happy with the solution.",Positive
The service has been excellent. product is damaged. This was handled very well.,Positive
"Thank you, everything was resolved quickly. product is damaged. I really appreciate your help.",Positive
I am very dissatisfied with change an order. Please provide a solution quickly.,Negative
I am unhappy with change my account details. I need this resolved immediately.,Negative
I am very happy with the service. parcel has not arrived. This was handled very well.,Positive
I am unhappy with website is not loading. Please provide a solution quickly.,Negative
I am really annoyed that delivery address needs to be changed. I have already waited long enough.,Negative
I am very happy with the service. login page is not working. Thank you for the excellent support.,Positive
"Great support, my problem is fixed now. login page is not working. Thanks for making this easy.",Positive
I need to know how to checkout is not working.,Neutral
I really appreciate the quick response. order was cancelled. I really appreciate your help.,Positive
This is unacceptable because package arrived late. I need this resolved immediately.,Negative
Can you help me with update my phone number.,Neutral
The service has been excellent. order was cancelled. I am happy with the solution.,Positive
Please provide details about my card payment is still pending.,Neutral
"Great support, my problem is fixed now. check my order status. I am happy with the solution.",Positive
I need to know how to tracking information is not updating.,Neutral
I need information about website is not loading.,Neutral
I am very happy with the service. package is delayed. Thanks for making this easy.,Positive
I am angry about package arrived late. Please fix this as soon as possible.,Negative
I am very happy with the service. delivery address needs to be changed. Thank you for the excellent support.,Positive
The support team was very helpful. delivery address needs to be changed. This was handled very well.,Positive
I have been waiting too long for website is not loading. This needs to be sorted out.,Negative
I am unhappy with I do not recognize a transaction. Please fix this as soon as possible.,Negative
I have been waiting too long for login page is not working. I have already waited long enough.,Negative
I would like help with package is delayed.,Neutral
Could you please explain page is freezing.,Neutral
I need to know how to product quality is poor.,Neutral
I would like to know about wrong item was delivered.,Neutral
I am angry about order confirmation. Please fix this as soon as possible.,Negative
Please provide details about the application is running slowly.,Neutral
The support team was very helpful. I do not recognize a transaction. Thanks for making this easy.,Positive
This is unacceptable because delivery address needs to be changed. I need this resolved immediately.,Negative
I am very happy with the service. change my account details. Thanks for making this easy.,Positive
Could you tell me whether the application is running slowly.,Neutral
Can you tell me how to order confirmation.,Neutral
Could you tell me whether item is missing.,Neutral
The service has been excellent. parcel has not arrived. This was handled very well.,Positive
The support team was very helpful. cancel my order. Thank you for the excellent support.,Positive
I am unhappy with package is delayed. I have already waited long enough.,Negative
I need to know how to reset my password.,Neutral
The support team was very helpful. package arrived late. I am happy with the solution.,Positive
I have been waiting too long for product quality is poor. This needs to be sorted out.,Negative
I have been waiting too long for wrong item was delivered. I have already waited long enough.,Negative
Thanks for resolving this so quickly. delivery address needs to be changed. Thank you for the excellent support.,Positive
I really appreciate the quick response. item is missing. Thanks for making this easy.,Positive
Can you help me with app keeps crashing.,Neutral
The service has been excellent. check my order status. This was handled very well.,Positive
I would like help with cancel my order.,Neutral
I am unhappy with order the wrong item. This needs to be sorted out.,Negative
I am extremely frustrated because checkout is not working. This needs to be sorted out.,Negative
The issue was handled perfectly. order was cancelled. Thanks for making this easy.,Positive
I am really annoyed that item is missing. I need this resolved immediately.,Negative
I am satisfied with how this was handled. tracking information is not updating. I am happy with the solution.,Positive
I am upset about reset my password. Please provide a solution quickly.,Negative
I really appreciate the quick response. app keeps crashing. Thank you for the excellent support.,Positive
This is very disappointing because page is freezing. I need this resolved immediately.,Negative
The issue was handled perfectly. app keeps crashing. Thank you for the excellent support.,Positive
I am extremely frustrated because parcel has not arrived. Please provide a solution quickly.,Negative
Thanks for resolving this so quickly. item is missing. Thank you for the excellent support.,Positive
The support team was very helpful. payment was charged twice. I am happy with the solution.,Positive
The service has been excellent. reset my password. Thank you for the excellent support.,Positive
Thanks for resolving this so quickly. change my account details. I am happy with the solution.,Positive
"Great support, my problem is fixed now. I do not recognize a transaction. This was handled very well.",Positive
The service has been excellent. product is damaged. Thanks for making this easy.,Positive
I am satisfied with how this was handled. money was deducted but the order failed. Thank you for the excellent support.,Positive
I am satisfied with how this was handled. payment was charged twice. I really appreciate your help.,Positive
Can you help me with cancel my order.,Neutral
I would like help with refund has not arrived.,Neutral
This is very disappointing because delivery date changed. Please fix this as soon as possible.,Negative
Could you please explain I want to return an item.,Neutral
Please provide details about payment was charged twice.,Neutral
This has been a terrible experience because I want to return an item. I have already waited long enough.,Negative
I need information about order was cancelled.,Neutral
This has been a terrible experience because unlock my account. Please fix this as soon as possible.,Negative
Can you help me with order was cancelled.,Neutral
"Thank you, everything was resolved quickly. tracking information is not updating. This was handled very well.",Positive
The issue was handled perfectly. item is missing. Thank you for the excellent support.,Positive
I am satisfied with how this was handled. app keeps crashing. I am happy with the solution.,Positive
This is very disappointing because product does not work. I have already waited long enough.,Negative
I am very happy with the service. update my phone number. I am happy with the solution.,Positive
I really appreciate the quick response. update my phone number. Thank you for the excellent support.,Positive
I want to check payment was declined.,Neutral
I am very dissatisfied with unlock my account. I need this resolved immediately.,Negative
Could you tell me whether I want to return an item.,Neutral
I am angry about app keeps crashing. I need this resolved immediately.,Negative
I am very happy with the service. update my profile. This was handled very well.,Positive
I am very dissatisfied with wrong item was delivered. I need this resolved immediately.,Negative
The support team was very helpful. wrong item was delivered. Thank you for the excellent support.,Positive
The service has been excellent. reset my password. I am happy with the solution.,Positive
This is unacceptable because money was deducted but the order failed. Please provide a solution quickly.,Negative
I really appreciate the quick response. login page is not working. Thanks for making this easy.,Positive
Can you tell me how to item is missing.,Neutral
I am very dissatisfied with payment was charged twice. I have already waited long enough.,Negative
I need information about payment was charged twice.,Neutral
Could you tell me whether checkout is not working.,Neutral
I am upset about the application is running slowly. Please provide a solution quickly.,Negative
This has been a terrible experience because product quality is poor. I have already waited long enough.,Negative
I want to check website is not loading.,Neutral
I would like help with I do not recognize a transaction.,Neutral
I am satisfied with how this was handled. update my phone number. Thanks for making this easy.,Positive
"Great support, my problem is fixed now. payment was declined. I really appreciate your help.",Positive
I am really annoyed that payment was declined. Please provide a solution quickly.,Negative
Could you please explain delivery date changed.,Neutral
I need to know how to app keeps crashing.,Neutral
I am very happy with the service. change my account details. I am happy with the solution.,Positive
I am unhappy with order was cancelled. I have already waited long enough.,Negative
I am upset about payment was declined. I need this resolved immediately.,Negative
This is unacceptable because cancel my order. Please fix this as soon as possible.,Negative
This is very disappointing because item is missing. Please provide a solution quickly.,Negative
Can you tell me how to product is damaged.,Neutral
I am very happy with the service. parcel has not arrived. Thanks for making this easy.,Positive
I have been waiting too long for change my account details. I have already waited long enough.,Negative
I am very happy with the service. order was cancelled. I am happy with the solution.,Positive
I am satisfied with how this was handled. app keeps crashing. Thanks for making this easy.,Positive
Could you please explain login page is not working.,Neutral
I am very happy with the service. page is freezing. I am happy with the solution.,Positive
I have been waiting too long for change my email address. I have already waited long enough.,Negative
Could you tell me whether package is delayed.,Neutral
I am upset about order confirmation. I need this resolved immediately.,Negative
I am unhappy with cancel my order. Please provide a solution quickly.,Negative
This is unacceptable because money was deducted but the order failed. I have already waited long enough.,Negative
This has been a terrible experience because login page is not working. I need this resolved immediately.,Negative
I am satisfied with how this was handled. order was cancelled. I am happy with the solution.,Positive
I really appreciate the quick response. package arrived late. I really appreciate your help.,Positive
I would like to know about money was deducted but the order failed.,Neutral
I am very dissatisfied with login page is not working. Please fix this as soon as possible.,Negative
Can you help me with delivery date changed.,Neutral
The support team was very helpful. wrong item was delivered. I am happy with the solution.,Positive
I am angry about the application is running slowly. Please provide a solution quickly.,Negative
I am really annoyed that I want to return an item. Please provide a solution quickly.,Negative
This is very disappointing because delivery address needs to be changed. I need this resolved immediately.,Negative
The support team was very helpful. I want to return an item. This was handled very well.,Positive
I am very happy with the service. wrong item was delivered. I really appreciate your help.,Positive
I really appreciate the quick response. app keeps crashing. Thanks for making this easy.,Positive
I am satisfied with how this was handled. order the wrong item. I am happy with the solution.,Positive
I am extremely frustrated because order confirmation. Please provide a solution quickly.,Negative
I am very dissatisfied with check my order status. I need this resolved immediately.,Negative
I am extremely frustrated because unlock my account. I need this resolved immediately.,Negative
"Great support, my problem is fixed now. reset my password. This was handled very well.",Positive
I am very dissatisfied with update my phone number. I need this resolved immediately.,Negative
Thanks for resolving this so quickly. website is not loading. Thanks for making this easy.,Positive
Everything is working perfectly now. update my profile. Thank you for the excellent support.,Positive
I am extremely frustrated because login page is not working. Please fix this as soon as possible.,Negative
I am extremely frustrated because tracking information is not updating. I need this resolved immediately.,Negative
I want to check refund has not arrived.,Neutral
I am upset about page is freezing. I have already waited long enough.,Negative
Can you help me with refund has not arrived.,Neutral
I have been waiting too long for delivery address needs to be changed. Please provide a solution quickly.,Negative
I am upset about parcel has not arrived. I need this resolved immediately.,Negative
"Great support, my problem is fixed now. money was deducted but the order failed. I am happy with the solution.",Positive
I would like to know about order the wrong item.,Neutral
I am really annoyed that change an order. I need this resolved immediately.,Negative
The service has been excellent. package is delayed. I really appreciate your help.,Positive
I am very happy with the service. payment was declined. I really appreciate your help.,Positive
The issue was handled perfectly. product does not work. Thank you for the excellent support.,Positive
The service has been excellent. checkout is not working. This was handled very well.,Positive
"Great support, my problem is fixed now. cancel my order. I really appreciate your help.",Positive
The issue was handled perfectly. refund has not arrived. Thanks for making this easy.,Positive
I really appreciate the quick response. the application is running slowly. Thanks for making this easy.,Positive
I really appreciate the quick response. package is delayed. This was handled very well.,Positive
I would like to know about I do not recognize a transaction.,Neutral
The support team was very helpful. my card payment is still pending. Thanks for making this easy.,Positive
"Thank you, everything was resolved quickly. change an order. I really appreciate your help.",Positive
The service has been excellent. reset my password. Thanks for making this easy.,Positive
I would like help with delivery date changed.,Neutral
I want to check change my email address.,Neutral
I am really annoyed that login page is not working. Please provide a solution quickly.,Negative
I need information about page is freezing.,Neutral
I am unhappy with item is missing. I need this resolved immediately.,Negative
The issue was handled perfectly. item is missing. Thanks for making this easy.,Positive
Could you please explain order the wrong item.,Neutral
I am angry about parcel has not arrived. This needs to be sorted out.,Negative
I am unhappy with delivery address needs to be changed. Please provide a solution quickly.,Negative
"Great support, my problem is fixed now. I want to return an item. This was handled very well.",Positive
The service has been excellent. page is freezing. Thank you for the excellent support.,Positive
"Thank you, everything was resolved quickly. check my order status. This was handled very well.",Positive
Can you tell me how to I do not recognize a transaction.,Neutral
I am very dissatisfied with product does not work. I have already waited long enough.,Negative
I have been waiting too long for the application is running slowly. Please fix this as soon as possible.,Negative
Please provide details about change my account details.,Neutral
I am very dissatisfied with delivery address needs to be changed. I need this resolved immediately.,Negative
I have been waiting too long for package arrived late. I have already waited long enough.,Negative
Can you help me with order confirmation.,Neutral
Can you tell me how to cancel my order.,Neutral
I am extremely frustrated because order confirmation. I have already waited long enough.,Negative
This is unacceptable because product quality is poor. Please provide a solution quickly.,Negative
I am very dissatisfied with order was cancelled. Please fix this as soon as possible.,Negative
I have been waiting too long for item is missing. I need this resolved immediately.,Negative
Can you tell me how to tracking information is not updating.,Neutral
Can you help me with product quality is poor.,Neutral
I need to know how to check my order status.,Neutral
"Great support, my problem is fixed now. change my email address. I am happy with the solution.",Positive
Everything is working perfectly now. login page is not working. Thanks for making this easy.,Positive
Thanks for resolving this so quickly. payment was declined. I am happy with the solution.,Positive
"Great support, my problem is fixed now. website is not loading. Thank you for the excellent support.",Positive
This is very disappointing because package is delayed. This needs to be sorted out.,Negative
I want to check app keeps crashing.,Neutral
Everything is working perfectly now. my card payment is still pending. I am happy with the solution.,Positive
The service has been excellent. website is not loading. I am happy with the solution.,Positive
I am extremely frustrated because check my order status. Please fix this as soon as possible.,Negative
The support team was very helpful. unlock my account. I really appreciate your help.,Positive
I need information about money was deducted but the order failed.,Neutral
The service has been excellent. page is freezing. This was handled very well.,Positive
"Great support, my problem is fixed now. change an order. I am happy with the solution.",Positive
I am satisfied with how this was handled. delivery address needs to be changed. Thank you for the excellent support.,Positive
"Thank you, everything was resolved quickly. page is freezing. I am happy with the solution.",Positive
I need information about delivery address needs to be changed.,Neutral
Please provide details about reset my password.,Neutral
I would like to know about website is not loading.,Neutral
I am very happy with the service. the application is running slowly. Thanks for making this easy.,Positive
I am very dissatisfied with tracking information is not updating. I have already waited long enough.,Negative
This is very disappointing because refund has not arrived. I need this resolved immediately.,Negative
I am unhappy with unlock my account. This needs to be sorted out.,Negative
I want to check update my phone number.,Neutral
Could you tell me whether I do not recognize a transaction.,Neutral
"Thank you, everything was resolved quickly. package is delayed. Thanks for making this easy.",Positive
Can you help me with tracking information is not updating.,Neutral
Everything is working perfectly now. change an order. Thanks for making this easy.,Positive
Could you tell me whether money was deducted but the order failed.,Neutral
Could you please explain parcel has not arrived.,Neutral
I want to check change my account details.,Neutral
"Great support, my problem is fixed now. product does not work. This was handled very well.",Positive
I am really annoyed that check my order status. Please provide a solution quickly.,Negative
The support team was very helpful. I do not recognize a transaction. Thank you for the excellent support.,Positive
The service has been excellent. app keeps crashing. I am happy with the solution.,Positive
Please provide details about item is missing.,Neutral
This is very disappointing because refund has not arrived. This needs to be sorted out.,Negative
I am very dissatisfied with change my email address. Please fix this as soon as possible.,Negative
I am really annoyed that package arrived late. Please provide a solution quickly.,Negative
I am upset about parcel has not arrived. This needs to be sorted out.,Negative
I need information about package is delayed.,Neutral
Please provide details about page is freezing.,Neutral
I am unhappy with I do not recognize a transaction. I have already waited long enough.,Negative
This is very disappointing because checkout is not working. I have already waited long enough.,Negative
The support team was very helpful. website is not loading. I really appreciate your help.,Positive
I am upset about checkout is not working. Please provide a solution quickly.,Negative
I have been waiting too long for payment was charged twice. Please provide a solution quickly.,Negative
I would like help with the application is running slowly.,Neutral
I am angry about delivery address needs to be changed. This needs to be sorted out.,Negative
I am very dissatisfied with I do not recognize a transaction. Please fix this as soon as possible.,Negative
Thanks for resolving this so quickly. reset my password. This was handled very well.,Positive
I am unhappy with checkout is not working. This needs to be sorted out.,Negative
Thanks for resolving this so quickly. tracking information is not updating. I am happy with the solution.,Positive
I need information about product does not work.,Neutral
"Thank you, everything was resolved quickly. order confirmation. I really appreciate your help.",Positive
This has been a terrible experience because page is freezing. I have already waited long enough.,Negative
I really appreciate the quick response. update my phone number. This was handled very well.,Positive
I need to know how to login page is not working.,Neutral
Everything is working perfectly now. product does not work. I am happy with the solution.,Positive
"Great support, my problem is fixed now. unlock my account. This was handled very well.",Positive
Thanks for resolving this so quickly. checkout is not working. This was handled very well.,Positive
I am upset about update my profile. This needs to be sorted out.,Negative
I am extremely frustrated because change my email address. Please fix this as soon as possible.,Negative
I am really annoyed that payment was charged twice. Please provide a solution quickly.,Negative
I want to check order the wrong item.,Neutral
This is unacceptable because delivery address needs to be changed. Please provide a solution quickly.,Negative
I am really annoyed that refund has not arrived. I need this resolved immediately.,Negative
I am unhappy with reset my password. Please fix this as soon as possible.,Negative
I need information about order the wrong item.,Neutral
"Great support, my problem is fixed now. payment was declined. I am happy with the solution.",Positive
I need information about parcel has not arrived.,Neutral
I am very dissatisfied with reset my password. I have already waited long enough.,Negative
The issue was handled perfectly. change my email address. I am happy with the solution.,Positive
The support team was very helpful. the application is running slowly. This was handled very well.,Positive
The service has been excellent. payment was declined. I really appreciate your help.,Positive
I am unhappy with update my phone number. Please fix this as soon as possible.,Negative
Could you please explain change my account details.,Neutral
I am very happy with the service. unlock my account. I am happy with the solution.,Positive
I am unhappy with login page is not working. Please fix this as soon as possible.,Negative
This is very disappointing because reset my password. This needs to be sorted out.,Negative
I am extremely frustrated because item is missing. Please fix this as soon as possible.,Negative
I am really annoyed that checkout is not working. Please fix this as soon as possible.,Negative
I am upset about my card payment is still pending. Please provide a solution quickly.,Negative
I am very happy with the service. reset my password. Thanks for making this easy.,Positive
I want to check update my profile.,Neutral
I am very happy with the service. login page is not working. This was handled very well.,Positive
This is very disappointing because order confirmation. I have already waited long enough.,Negative
Can you help me with I do not recognize a transaction.,Neutral
I am upset about package is delayed. I need this resolved immediately.,Negative
This is unacceptable because order was cancelled. I need this resolved immediately.,Negative
Can you help me with package is delayed.,Neutral
This has been a terrible experience because website is not loading. This needs to be sorted out.,Negative
I am really annoyed that product is damaged. Please fix this as soon as possible.,Negative
I am unhappy with product quality is poor. Please fix this as soon as possible.,Negative
I am very happy with the service. parcel has not arrived. I really appreciate your help.,Positive
I am unhappy with product quality is poor. This needs to be sorted out.,Negative
This has been a terrible experience because parcel has not arrived. I have already waited long enough.,Negative
"Great support, my problem is fixed now. delivery date changed. This was handled very well.",Positive
I need to know how to page is freezing.,Neutral
I would like to know about I want to return an item.,Neutral
"Great support, my problem is fixed now. delivery address needs to be changed. I am happy with the solution.",Positive
Everything is working perfectly now. payment was declined. I really appreciate your help.,Positive
Please provide details about product does not work.,Neutral
I am satisfied with how this was handled. order the wrong item. This was handled very well.,Positive
